id,kind,zone,worldX,worldZ,lat,lon,areaKm2,sizeX,sizeZ
Z32-058,island,Z32,1087.4,-431745.3,-0.70447,73.15987,0.0048,73.5,95.1
Z32-055,island,Z32,3686.1,-430384.7,-0.69220,73.18311,0.0004,20.0,33.2
Z32-053,island,Z32,4352.7,-429870.1,-0.68753,73.18911,0.0001,12.2,12.2
Z32-054,island,Z32,4192.9,-429982.8,-0.68851,73.18787,0.0256,276.1,304.1
Z32-056,island,Z32,372.4,-430730.1,-0.69434,73.15658,3.1568,3572.0,1940.6
Z32-051,island,Z32,-2436.3,-429294.0,-0.68232,73.12811,0.0001,12.2,12.2
Z32-052,island,Z32,-2406.2,-429287.4,-0.68233,73.12839,0.0003,33.4,21.0
Z32-049,island,Z32,-2612.8,-429128.4,-0.68130,73.12653,0.0567,368.4,471.1
Z32-047,island,Z32,-2856.0,-428945.0,-0.67916,73.12435,0.0018,50.1,54.2
Z32-050,island,Z32,-1742.2,-429467.3,-0.68218,73.13486,1.1549,1542.8,1234.0
Z32-046,island,Z32,-2496.4,-428241.3,-0.67280,73.12757,0.0001,12.2,12.2
Z32-048,island,Z32,4762.9,-429099.7,-0.67962,73.19522,0.3587,952.8,1674.1
Z32-045,island,Z32,4642.5,-428117.8,-0.67166,73.19171,0.0001,13.4,22.1
Z32-044,island,Z32,-3176.2,-427707.7,-0.66795,73.12099,0.9585,1785.5,2065.6
Z32-043,island,Z32,7416.3,-426749.8,-0.65900,73.21700,0.0323,279.4,268.7
Z32-042,island,Z32,-4170.5,-426383.3,-0.65600,73.11254,0.0001,23.4,12.2
Z32-041,island,Z32,-4216.2,-426373.7,-0.65591,73.11212,0.0001,12.2,12.2
Z32-040,island,Z32,-4354.2,-426351.2,-0.65564,73.11087,0.0377,244.9,255.4
Z32-039,island,Z32,-4723.1,-425778.4,-0.65018,73.10724,0.0091,178.1,277.5
Z32-038,island,Z32,8052.5,-425023.3,-0.64348,73.22230,0.0016,43.4,73.0
Z32-037,island,Z32,8151.0,-424723.9,-0.64110,73.22327,0.0104,95.7,256.5
Z32-036,island,Z32,8199.6,-424427.2,-0.63808,73.22373,0.0039,63.5,152.6
Z32-035,island,Z32,8212.3,-424329.5,-0.63739,73.22378,0.0002,13.4,33.2
Z32-034,island,Z32,8265.2,-424128.1,-0.63530,73.22427,0.0164,90.2,356.1
Z32-033,island,Z32,8404.8,-423384.2,-0.62963,73.22539,0.0615,252.7,911.1
Z32-032,island,Z32,8414.5,-422432.3,-0.62030,73.22579,0.1107,232.6,1051.6
Z32-031,island,Z32,8307.9,-421848.8,-0.61500,73.22463,0.0009,23.4,58.6
Z32-029,island,Z32,-121.3,-421578.4,-0.61250,73.14888,0.0004,24.5,33.2
Z32-028,island,Z32,-136.5,-421555.9,-0.61234,73.14877,0.0001,12.2,12.2
Z32-027,island,Z32,-162.0,-421490.6,-0.61172,73.14855,0.0026,43.4,94.0
Z32-025,island,Z32,-3518.3,-421387.1,-0.61081,73.11841,0.0003,44.5,13.3
Z32-024,island,Z32,-3627.7,-421365.7,-0.61061,73.11736,0.0006,74.6,16.6
Z32-026,island,Z32,8339.6,-421523.0,-0.61158,73.22491,0.1202,251.6,634.7
Z32-023,island,Z32,-6520.4,-419936.7,-0.59769,73.09143,0.0001,23.4,12.2
Z32-022,island,Z32,-6975.2,-419623.5,-0.59499,73.08733,0.0018,36.7,82.9
Z32-021,island,Z32,-6674.2,-419603.9,-0.59474,73.09039,0.0239,149.2,391.4
Z32-016,island,Z32,-7110.4,-419115.8,-0.59035,73.08615,0.0002,23.4,22.1
Z32-015,island,Z32,-7081.8,-419120.6,-0.59027,73.08637,0.0003,24.5,33.2
Z32-014,island,Z32,-7118.2,-419091.9,-0.59006,73.08607,0.0003,44.5,12.2
Z32-019,island,Z32,-7258.7,-419204.4,-0.59138,73.08532,0.0739,434.1,356.1
Z32-018,island,Z32,-6842.9,-419221.9,-0.59132,73.08849,0.0233,164.7,403.6
Z32-017,island,Z32,8033.9,-419204.3,-0.59117,73.22241,0.0653,244.9,525.2
Z32-012,island,Z32,-8186.5,-418854.4,-0.58786,73.07644,0.0015,30.1,80.7
Z32-013,island,Z32,-6796.2,-418885.6,-0.58791,73.08889,0.0038,66.8,151.5
Z32-011,island,Z32,-6836.4,-418795.0,-0.58739,73.08859,0.0001,10.0,10.0
Z32-010,island,Z32,-6846.4,-418785.0,-0.58730,73.08850,0.0001,10.0,10.0
Z32-008,island,Z32,8072.9,-418616.0,-0.58580,73.22253,0.0001,12.2,12.2
Z32-009,island,Z32,-6860.7,-418627.8,-0.58583,73.08838,0.0004,23.4,33.2
Z32-006,island,Z32,-7906.6,-418388.1,-0.58373,73.07896,0.0007,33.4,33.2
Z32-007,island,Z32,-8100.4,-418450.5,-0.58452,73.07692,0.0179,252.7,336.2
Z32-005,island,Z32,-6896.8,-418214.7,-0.58212,73.08803,0.0032,57.9,90.7
Z32-004,island,Z32,8025.8,-417964.8,-0.57990,73.22211,0.0018,74.6,66.3
Z32-020,island,Z32,8588.7,-419260.0,-0.59405,73.22946,2.9674,2189.6,3264.2
Z32-003,island,Z32,7938.7,-417927.0,-0.57943,73.22130,0.0007,30.1,44.2
Z32-030,island,Z32,-6526.7,-421103.6,-0.61292,73.09224,5.06,3317.2,7608.7
Z32-002,island,Z32,7409.5,-417874.6,-0.57924,73.21689,0.0648,841.5,521.9
Z32-001,island,Z32,6398.7,-417622.0,-0.57676,73.20749,0.0001,23.4,13.3
Z30-176,island,Z30,5274.5,-332652.8,0.19137,73.19730,0.0972,390.7,453.4
Z30-175,island,Z30,5680.5,-332707.8,0.19141,73.20169,0.134,673.5,677.8
Z30-173,island,Z30,4569.7,-332346.9,0.19425,73.19100,0.0035,106.9,102.8
Z30-174,island,Z30,4685.1,-332430.2,0.19373,73.19225,0.0233,205.9,249.9
Z30-171,island,Z30,4793.8,-332286.8,0.19497,73.19306,0.0001,12.2,12.2
Z30-172,island,Z30,4941.8,-332341.9,0.19427,73.19403,0.0414,295.0,248.8
Z30-169,island,Z30,8482.9,-332217.1,0.19560,73.22621,0.0001,12.2,12.2
Z30-170,island,Z30,5680.6,-332225.0,0.19556,73.20104,0.0013,39.0,74.1
Z30-168,island,Z30,8403.1,-332172.9,0.19602,73.22549,0.0001,13.4,23.2
Z30-166,island,Z30,3528.8,-331439.7,0.20261,73.18170,0.0005,31.2,34.3
Z30-167,island,Z30,4108.1,-331806.9,0.19899,73.18977,0.4362,1074.2,1058.2
Z30-165,island,Z30,3273.7,-331283.9,0.20409,73.17953,0.0116,184.8,142.6
Z30-164,island,Z30,1301.3,-331026.6,0.20635,73.16190,0.0029,110.2,44.2
Z30-163,island,Z30,2819.6,-330925.5,0.20770,73.17540,0.0308,219.3,326.2
Z30-162,island,Z30,1408.6,-330878.8,0.20788,73.16215,0.0774,472.0,288.6
Z30-161,island,Z30,2324.3,-330783.7,0.20878,73.17118,0.0291,173.7,261.0
Z30-160,island,Z30,1217.4,-330709.5,0.20952,73.16157,0.1589,979.6,697.7
Z30-159,island,Z30,-959.3,-330167.8,0.21411,73.14123,0.0072,199.3,74.1
Z30-158,island,Z30,576.7,-329659.7,0.21856,73.15434,0.0739,482.0,603.7
Z30-156,island,Z30,7408.0,-328930.2,0.22529,73.21658,0.0417,336.2,182.5
Z30-157,island,Z30,-1435.5,-329403.4,0.22198,73.13649,0.7049,1116.5,1529.3
Z30-155,island,Z30,-2095.3,-328746.0,0.22709,73.13111,0.103,439.7,404.7
Z30-153,island,Z30,-2246.3,-328452.7,0.22950,73.12990,0.0855,447.5,393.7
Z30-152,island,Z30,-2467.8,-328357.7,0.23070,73.12808,0.037,321.7,327.3
Z30-154,island,Z30,13686.8,-328694.5,0.22714,73.27342,1.8543,2085.0,1502.7
Z30-151,island,Z30,-2636.0,-328109.3,0.23289,73.12644,0.0934,365.1,436.8
Z30-150,island,Z30,-3048.2,-327599.1,0.23728,73.12244,0.0262,227.1,196.8
Z30-147,island,Z30,-3496.0,-327374.3,0.23935,73.11860,0.0011,43.4,44.2
Z30-149,island,Z30,-3366.2,-327452.8,0.23855,73.11977,0.023,155.8,227.8
Z30-148,island,Z30,-3127.5,-327451.5,0.23888,73.12177,0.0486,330.6,366.0
Z30-146,island,Z30,-3593.2,-327114.4,0.24211,73.11720,0.1299,613.4,398.1
Z30-145,island,Z30,-4043.5,-326887.9,0.24410,73.11397,0.0649,308.4,342.8
Z30-143,island,Z30,-3977.1,-326624.2,0.24618,73.11428,0.0001,12.2,12.2
Z30-144,island,Z30,-4215.8,-326646.1,0.24596,73.11214,0.0605,251.6,455.6
Z30-142,island,Z30,-4457.8,-326553.0,0.24694,73.10991,0.0238,118.0,326.2
Z30-141,island,Z30,20074.1,-326335.6,0.24891,73.33040,0.0042,76.8,84.0
Z30-140,island,Z30,-4645.5,-326300.7,0.24907,73.10823,0.0017,32.3,85.1
Z30-139,island,Z30,19841.9,-326256.6,0.24960,73.32827,0.0104,134.7,127.2
Z30-138,island,Z30,20685.1,-326160.9,0.25030,73.33582,0.0022,72.4,43.1
Z30-137,island,Z30,9343.0,-326147.2,0.25046,73.23394,0.0006,33.4,33.2
Z30-134,island,Z30,21322.4,-326132.9,0.25063,73.34154,0.0019,47.9,56.4
Z30-136,island,Z30,20532.6,-326140.6,0.25054,73.33444,0.0042,73.5,103.9
Z30-135,island,Z30,20395.0,-326113.3,0.25055,73.33322,0.0268,216.0,242.2
Z30-132,island,Z30,20424.5,-325984.1,0.25195,73.33348,0.0014,50.1,37.6
Z30-133,island,Z30,20355.5,-325984.7,0.25192,73.33286,0.0008,30.1,42.0
Z30-129,island,Z30,16497.0,-325800.9,0.25373,73.29818,0.0089,89.1,188.0
Z30-128,island,Z30,19687.0,-325713.8,0.25435,73.32685,0.0008,26.7,53.1
Z30-130,island,Z30,19911.9,-325915.5,0.25271,73.32965,0.2344,1119.9,674.5
Z30-131,island,Z30,-5040.1,-325881.9,0.25259,73.10506,0.3623,818.2,813.8
Z30-124,island,Z30,21312.0,-325530.4,0.25611,73.34144,0.0032,51.2,113.9
Z30-126,island,Z30,21253.1,-325591.8,0.25559,73.34063,0.0316,223.8,319.6
Z30-125,island,Z30,-5436.5,-325512.1,0.25594,73.10065,0.0206,253.8,204.6
Z30-127,island,Z30,21932.4,-325808.6,0.25463,73.34789,0.1185,614.5,768.5
Z30-123,island,Z30,16314.0,-325522.2,0.25662,73.29602,0.0867,444.2,372.6
Z30-122,island,Z30,-5644.1,-325278.8,0.25834,73.09964,0.1148,474.2,394.8
Z30-121,island,Z30,-5996.0,-324968.6,0.26083,73.09621,0.0255,195.9,207.9
Z30-119,island,Z30,-6177.2,-324852.6,0.26214,73.09450,0.0325,256.0,215.6
Z30-120,island,Z30,21675.2,-324980.8,0.26122,73.34482,0.0416,191.5,539.6
Z30-118,island,Z30,-6440.4,-324666.5,0.26393,73.09240,0.062,323.9,325.1
Z30-116,island,Z30,-7907.3,-324425.8,0.26603,73.07896,0.0005,33.4,25.4
Z30-115,island,Z30,-7878.0,-324418.6,0.26613,73.07922,0.0002,33.4,13.3
Z30-117,island,Z30,-6680.1,-324492.7,0.26542,73.08965,0.0482,282.8,276.4
Z30-113,island,Z30,-7945.4,-324365.3,0.26659,73.07863,0.0016,76.8,36.5
Z30-114,island,Z30,-6922.8,-324404.2,0.26615,73.08772,0.0376,179.2,293.0
Z30-112,island,Z30,25260.3,-324334.3,0.26688,73.37672,0.0301,213.7,218.9
Z30-111,island,Z30,-7361.6,-324198.2,0.26836,73.08394,0.079,379.6,336.2
Z30-109,island,Z30,-7678.5,-324060.4,0.26913,73.08128,0.0568,251.6,371.5
Z30-110,island,Z30,-8249.4,-324118.7,0.26892,73.07759,0.4398,1089.8,643.6
Z30-108,island,Z30,-9170.9,-323730.6,0.27377,73.06699,0.3733,1125.4,916.7
Z30-106,island,Z30,23027.2,-323106.5,0.27775,73.35681,0.1115,285.0,573.9
Z30-104,island,Z30,-9943.0,-322853.9,0.28031,73.06071,0.0002,23.4,23.2
Z30-105,island,Z30,-9749.4,-322928.5,0.27971,73.06268,0.0772,300.6,426.8
Z30-103,island,Z30,-9937.7,-322731.3,0.28136,73.06065,0.0164,188.1,130.5
Z30-102,island,Z30,-10055.2,-322541.7,0.28315,73.05985,0.0557,295.0,277.5
Z30-107,island,Z30,31661.5,-323152.1,0.27506,73.43102,2.2874,2410.0,2332.0
Z30-101,island,Z30,-10347.3,-322231.0,0.28559,73.05702,0.0393,260.5,232.2
Z30-100,island,Z30,-10621.8,-322115.9,0.28662,73.05460,0.0563,339.5,253.2
Z30-099,island,Z30,-10844.8,-322030.9,0.28795,73.05262,0.0157,128.0,172.5
Z30-098,island,Z30,20860.7,-321945.1,0.28846,73.33746,0.0108,129.1,137.1
Z30-097,island,Z30,5644.5,-321888.7,0.28900,73.20070,0.0024,60.1,87.4
Z30-096,island,Z30,-11121.9,-321888.1,0.28922,73.05042,0.034,244.9,312.9
Z30-094,island,Z30,-11557.4,-321722.3,0.29053,73.04619,0.0019,47.9,84.0
Z30-095,island,Z30,34293.3,-321717.5,0.29002,73.45744,0.5338,1269.0,1192.0
Z30-093,island,Z30,-12174.7,-321362.2,0.29327,73.04085,0.4135,959.6,766.3
Z30-091,island,Z30,-12632.7,-320966.7,0.29732,73.03653,0.0005,39.0,23.2
Z30-090,island,Z30,-12634.4,-320872.8,0.29816,73.03651,0.0013,45.6,53.1
Z30-092,island,Z30,-12899.1,-321063.6,0.29682,73.03382,0.1673,525.4,633.6
Z30-088,island,Z30,-12168.2,-320631.4,0.30035,73.04069,0.0008,35.6,37.6
Z30-087,island,Z30,-12281.5,-320591.2,0.30066,73.03966,0.0053,106.9,82.9
Z30-089,island,Z30,-13105.0,-320745.5,0.29933,73.03212,0.0436,299.5,475.5
Z30-084,island,Z30,-12867.3,-320466.4,0.30184,73.03443,0.0037,80.1,71.9
Z30-085,island,Z30,-13490.5,-320476.1,0.30150,73.02862,0.0402,335.1,214.5
Z30-086,island,Z30,-13231.2,-320544.4,0.30099,73.03110,0.0418,358.4,356.1
Z30-082,island,Z30,-13096.2,-320346.8,0.30295,73.03235,0.0001,12.2,12.2
Z30-083,island,Z30,29692.1,-320455.5,0.30204,73.41682,0.0389,146.9,418.0
Z30-081,island,Z30,-13684.4,-320229.0,0.30372,73.02656,0.0208,262.7,161.4
Z30-079,island,Z30,35712.8,-319954.2,0.30644,73.47082,0.0001,13.4,22.1
Z30-078,island,Z30,35731.0,-319923.7,0.30675,73.47097,0.0006,30.1,43.1
Z30-080,island,Z30,-13711.9,-320018.0,0.30597,73.02715,0.0618,365.1,320.7
Z30-076,island,Z30,35926.1,-319668.9,0.30906,73.47273,0.0004,20.0,34.3
Z30-075,island,Z30,35942.8,-319621.4,0.30951,73.47289,0.0001,12.2,12.2
Z30-077,island,Z30,29337.7,-319702.7,0.30866,73.41350,0.0356,207.1,246.6
Z30-074,island,Z30,-13739.8,-319594.9,0.30974,73.02654,0.0016,86.8,37.6
Z30-073,island,Z30,-13895.7,-319551.7,0.31032,73.02511,0.0134,185.9,115.0
Z30-072,island,Z30,36070.5,-319424.1,0.31084,73.47384,0.016,177.0,276.4
Z30-071,island,Z30,33265.6,-319275.2,0.31258,73.44877,0.0021,72.4,56.4
Z30-070,island,Z30,-13933.5,-319193.0,0.31335,73.02479,0.0143,223.8,94.0
Z30-069,island,Z30,-13936.7,-318896.0,0.31607,73.02481,0.0001,12.2,12.2
Z30-068,island,Z30,37027.4,-318732.4,0.31757,73.48263,0.0003,24.5,24.3
Z30-067,island,Z30,36988.0,-318701.6,0.31781,73.48228,0.0008,32.3,43.1
Z30-066,island,Z30,25640.7,-318569.0,0.31941,73.38070,0.0211,213.7,230.0
Z30-064,island,Z30,37075.7,-318291.2,0.32167,73.48307,0.0029,51.2,92.9
Z30-065,island,Z30,37503.1,-318383.7,0.32089,73.48674,0.126,476.4,493.2
Z30-063,island,Z30,37745.2,-318043.7,0.32377,73.48911,0.0018,75.7,44.2
Z30-061,island,Z30,-13848.8,-317898.3,0.32510,73.02584,0.017,229.3,108.4
Z30-062,island,Z30,38159.8,-317968.5,0.32433,73.49147,0.1095,573.3,372.6
Z30-060,island,Z30,37998.3,-317696.6,0.32706,73.49136,0.0068,100.2,111.7
Z30-056,island,Z30,38532.4,-317341.7,0.33006,73.49615,0.0001,13.4,23.2
Z30-057,island,Z30,-13829.2,-317492.9,0.32869,73.02575,0.0512,236.0,263.2
Z30-058,island,Z30,38703.1,-317566.2,0.32814,73.49742,0.1118,544.3,465.5
Z30-055,island,Z30,38543.5,-317322.5,0.33032,73.49625,0.0001,12.2,23.2
Z30-059,island,Z30,37488.7,-317638.5,0.32749,73.48608,0.181,899.4,861.4
Z30-053,island,Z30,39492.7,-316990.1,0.33326,73.50478,0.0001,12.2,12.2
Z30-052,island,Z30,39502.9,-316979.9,0.33338,73.50487,0.0001,10.0,10.0
Z30-054,island,Z30,38669.3,-317072.8,0.33286,73.49835,0.129,598.9,385.9
Z30-049,island,Z30,39332.3,-316783.1,0.33516,73.50334,0.0008,40.1,44.2
Z30-051,island,Z30,39526.4,-316779.3,0.33468,73.50536,0.018,134.7,303.0
Z30-048,island,Z30,31923.4,-316780.9,0.33521,73.43672,0.0567,252.7,317.4
Z30-047,island,Z30,-13698.2,-316178.8,0.34061,73.02694,0.0008,51.2,23.2
Z30-050,island,Z30,40127.4,-316666.9,0.33488,73.50797,0.7718,2056.0,1689.6
Z30-046,island,Z30,-13727.1,-315927.2,0.34287,73.02665,0.0039,101.3,64.1
Z30-045,island,Z30,-13843.5,-315897.4,0.34314,73.02566,0.0007,41.2,33.2
Z30-044,island,Z30,28374.4,-315125.0,0.35029,73.40469,0.0013,84.6,53.1
Z29-088,island,Z29,43341.3,-315129.0,0.35083,73.53963,0.2343,487.6,797.3
Z29-087,island,Z29,43628.8,-314662.3,0.35408,73.54204,0.0397,185.9,360.5
Z30-043,island,Z30,18889.5,-314335.8,0.35727,73.31968,0.019,158.1,213.4
Z30-042,island,Z30,-13825.4,-314047.1,0.35991,73.02603,0.0031,146.9,43.1
Z29-086,island,Z29,44010.2,-313684.3,0.36331,73.54554,0.0293,368.4,535.2
Z30-041,island,Z30,26884.3,-313175.6,0.36779,73.39158,0.0109,157.0,110.6
Z30-040,island,Z30,-13851.4,-313164.1,0.36797,73.02563,0.0102,175.9,91.8
Z29-085,island,Z29,44744.7,-313125.8,0.36821,73.55194,0.0019,59.0,54.2
Z30-039,island,Z30,26974.7,-313124.9,0.36819,73.39254,0.0036,121.3,84.0
Z30-038,island,Z30,-13943.2,-312918.1,0.37020,73.02474,0.0183,250.5,113.9
Z29-084,island,Z29,44878.1,-313078.8,0.36852,73.55328,0.0772,274.9,518.6
Z30-037,island,Z30,-14021.9,-312716.9,0.37194,73.02398,0.0053,149.2,94.0
Z30-036,island,Z30,-14181.2,-312545.1,0.37341,73.02249,0.0042,126.9,81.8
Z29-083,island,Z29,45106.0,-312440.8,0.37448,73.55523,0.0135,100.2,232.2
Z29-082,island,Z29,44703.2,-312400.3,0.37479,73.55158,0.2019,547.6,1172.1
Z29-080,island,Z29,38718.7,-311728.4,0.38087,73.49783,0.0008,35.6,44.2
Z29-079,island,Z29,38681.2,-311734.8,0.38090,73.49746,0.0017,44.5,59.7
Z29-078,island,Z29,38752.2,-311665.8,0.38141,73.49813,0.0001,12.2,12.2
Z29-077,island,Z29,38762.6,-311655.5,0.38155,73.49822,0.0001,12.2,12.2
Z30-035,island,Z30,-14996.4,-311434.3,0.38378,73.01560,0.031,231.5,245.5
Z29-081,island,Z29,45259.1,-311787.6,0.38037,73.55735,0.1697,355.1,1267.2
Z30-034,island,Z30,-15340.1,-311149.5,0.38608,73.01250,0.0405,216.0,341.7
Z30-032,island,Z30,-15534.3,-310508.9,0.39199,73.01044,0.0031,70.1,63.0
Z29-076,island,Z29,45161.6,-310907.4,0.38824,73.55572,0.0857,582.1,1056.0
Z30-031,island,Z30,-15747.5,-310385.9,0.39303,73.00879,0.0163,210.4,137.1
Z30-033,island,Z30,-15229.9,-310672.4,0.39098,73.01404,0.312,1116.5,670.1
Z30-029,island,Z30,-16110.0,-309985.8,0.39662,73.00527,0.0014,67.9,33.2
Z30-030,island,Z30,-15784.7,-310080.4,0.39518,73.00785,0.1112,586.6,381.5
Z30-028,island,Z30,24460.8,-309780.2,0.39846,73.36980,0.0103,108.0,141.5
Z30-027,island,Z30,24543.6,-309743.3,0.39857,73.37090,0.0065,174.8,143.7
Z30-025,island,Z30,-16143.0,-309461.9,0.40135,73.00497,0.003,109.1,39.8
Z30-026,island,Z30,-16038.8,-309571.2,0.40049,73.00647,0.0309,303.9,254.3
Z30-024,island,Z30,-16144.1,-309356.5,0.40232,73.00497,0.0007,52.3,17.7
Z29-075,island,Z29,46687.2,-308848.7,0.40695,73.56941,0.0003,24.5,23.2
Z29-074,island,Z29,46342.8,-308735.2,0.40796,73.56631,0.0001,12.2,12.2
Z29-073,island,Z29,46746.3,-308694.7,0.40829,73.56994,0.0008,28.9,74.1
Z29-072,island,Z29,46493.5,-308590.0,0.40912,73.56761,0.0234,205.9,335.0
Z29-071,island,Z29,47026.7,-308190.7,0.41256,73.57222,0.034,259.4,304.1
Z29-070,island,Z29,47002.2,-307946.1,0.41512,73.57224,0.0001,13.4,22.1
Z29-069,island,Z29,47040.7,-307859.9,0.41580,73.57273,0.0066,90.2,103.9
Z30-023,island,Z30,-16159.4,-307257.1,0.42138,73.00490,0.0112,258.3,85.1
Z29-068,island,Z29,46842.6,-307258.6,0.42101,73.57132,0.3942,489.7,1320.3
Z30-022,island,Z30,-16270.6,-306494.7,0.42860,73.00369,0.0298,163.6,233.3
Z29-067,island,Z29,46691.5,-305791.1,0.43440,73.56956,0.0232,146.9,227.8
Z30-020,island,Z30,-15740.5,-304532.6,0.44597,73.00860,0.0001,22.3,13.3
Z30-019,island,Z30,-15550.6,-304234.8,0.44866,73.01031,0.0001,23.4,12.2
Z29-066,island,Z29,46580.1,-304918.9,0.44266,73.56877,0.5045,575.5,1532.6
Z30-018,island,Z30,-16846.6,-304187.5,0.44914,72.99874,0.0446,301.7,242.2
Z30-021,island,Z30,-16224.6,-304600.4,0.44416,73.00372,0.9484,1188.9,1668.6
Z29-065,island,Z29,42880.1,-303868.2,0.45190,73.53518,0.0218,184.8,153.7
Z30-017,island,Z30,-16725.9,-303837.5,0.45202,72.99964,0.0215,290.5,182.5
Z30-016,island,Z30,-17038.1,-303613.2,0.45425,72.99694,0.0004,32.3,23.2
Z30-015,island,Z30,-16729.3,-303488.2,0.45522,72.99968,0.0186,188.1,164.8
Z30-014,island,Z30,-16799.9,-303073.7,0.45892,72.99843,0.3685,752.5,859.2
Z29-064,island,Z29,46098.8,-302799.8,0.46132,73.56416,0.1262,389.6,530.8
Z30-013,island,Z30,565.6,-302693.9,0.46249,73.15488,0.0552,295.0,285.3
Z29-063,island,Z29,45877.6,-302274.2,0.46676,73.56206,0.0047,56.8,144.9
Z29-062,island,Z29,45254.0,-300885.6,0.47764,73.55853,0.3834,950.7,1203.1
Z30-011,island,Z30,2496.4,-299114.5,0.49475,73.17239,0.0119,102.4,185.8
Z30-012,island,Z30,-17261.6,-299880.2,0.48731,72.99364,1.6764,1171.0,2060.0
Z30-010,island,Z30,-17848.1,-298921.1,0.49650,72.98939,0.0307,384.0,129.4
Z30-009,island,Z30,-17865.8,-298483.7,0.50067,72.98950,0.0001,12.2,12.2
Z29-058,island,Z29,38887.6,-297872.4,0.50611,73.49946,0.0024,106.9,70.8
Z29-059,island,Z29,38708.5,-297895.5,0.50582,73.49793,0.0371,328.4,195.7
Z29-057,island,Z29,38741.7,-297822.6,0.50662,73.49804,0.0007,51.2,23.2
Z29-060,island,Z29,33816.2,-297944.1,0.50562,73.45415,0.0633,347.3,280.9
Z29-061,island,Z29,44449.9,-298726.1,0.49959,73.54830,1.0668,1279.1,1840.0
Z30-008,island,Z30,-17736.0,-297876.2,0.50637,72.99020,0.0388,198.1,387.0
Z30-007,island,Z30,-248.9,-297372.0,0.51082,73.14756,0.0154,221.5,196.8
Z29-056,island,Z29,43692.1,-297092.4,0.51362,73.54232,0.0233,139.2,311.8
Z30-006,island,Z30,-17311.8,-296738.7,0.51644,72.99448,0.0014,43.4,39.8
Z30-004,island,Z30,-17324.0,-296594.4,0.51770,72.99436,0.0016,40.1,60.8
Z30-005,island,Z30,-17551.5,-296635.4,0.51693,72.99196,0.0164,128.0,239.9
Z29-055,island,Z29,7417.4,-296473.9,0.51887,73.21637,0.016,165.9,206.8
Z29-054,island,Z29,43409.3,-296190.5,0.52135,73.54003,0.0249,168.1,349.4
